;x;y;z;time
382;0.9575386;-2.727994;-2.727994;1418119696474
383;2.1632128;-2.6543975;-2.6543975;1418119696494
384;1.6640692;-2.3477464;-2.3477464;1418119696514
385;2.8969135;-1.46228;-1.46228;1418119696533
386;3.3500566;-1.0905274;-1.0905274;1418119696554
387;3.0742931;-1.3351879;-1.3351879;1418119696573
388;1.3315897;-1.8612452;-1.8612452;1418119696593
389;4.212043;-0.71276975;-0.71276975;1418119696613
390;3.9359217;-0.7058644;-0.7058644;1418119696632
391;3.9106226;-0.7287698;-0.7287698;1418119696652
392;5.0157337;-0.29182363;-0.29182363;1418119696672
393;4.5277805;-0.37731254;-0.37731254;1418119696691
394;3.220316;-0.74097383;-0.74097383;1418119696711
395;1.8003893;-0.9245033;-0.9245033;1418119696731
396;2.302249;-0.60358715;-0.60358715;1418119696750
397;2.9682722;-0.30009937;-0.30009937;1418119696770
398;2.5775614;-0.34361577;-0.34361577;1418119696789
399;2.7559175;-0.3897972;-0.3897972;1418119696810
400;2.666686;-0.3101778;-0.3101778;1418119696829
401;1.991231;-0.37139726;-0.37139726;1418119696849
402;2.1164389;-0.34481573;-0.34481573;1418119696869
403;2.028182;-0.37272024;-0.37272024;1418119696888
404;1.882122;-0.24285913;-0.24285913;1418119696908
405;2.3710165;-0.3399601;-0.3399601;1418119696928
406;2.6137094;-0.4529624;-0.4529624;1418119696948
407;1.4117136;-0.9653032;-0.9653032;1418119696967
408;0.9285259;-1.0174844;-1.0174844;1418119696987
409;1.7773504;-0.8021532;-0.8021532;1418119697011
410;2.750287;-0.39059013;-0.39059013;1418119697027
411;2.9417362;-0.6516319;-0.6516319;1418119697046
412;1.2623463;-1.5820918;-1.5820918;1418119697066
413;-1.1185331;-1.8424444;-1.8424444;1418119697085
414;-1.2114153;-1.4625539;-1.4625539;1418119697106
415;0.7815275;-0.9570335;-0.9570335;1418119697126
416;3.4594412;-0.3849578;-0.3849578;1418119697145
417;3.0551338;-0.8583313;-0.8583313;1418119697165
418;0.379344;-1.4661353;-1.4661353;1418119697185
419;-1.6853962;-1.8485565;-1.8485565;1418119697205
420;-1.7703171;-1.3962631;-1.3962631;1418119697224
421;0.59622383;-0.72596765;-0.72596765;1418119697245
422;2.4428282;-0.6708422;-0.6708422;1418119697263
423;2.1194944;-1.1691942;-1.1691942;1418119697283
424;2.3482866;-1.5844808;-1.5844808;1418119697303
425;-0.71616364;-2.1523633;-2.1523633;1418119697323
426;-1.703866;-1.8390341;-1.8390341;1418119697345
427;-0.54943323;-1.4298882;-1.4298882;1418119697368
428;-0.30862856;-1.3091602;-1.3091602;1418119697382
429;-1.1408772;-1.5674906;-1.5674906;1418119697402
430;-2.3121538;-1.711307;-1.711307;1418119697422
431;-3.7821078;-1.2401667;-1.2401667;1418119697441
432;-2.3013806;-0.6311536;-0.6311536;1418119697461
433;0.3755808;-1.2905722;-1.2905722;1418119697480
434;2.0773253;-1.8199797;-1.8199797;1418119697499
435;0.94221354;-1.1681061;-1.1681061;1418119697520
436;0.6793976;-1.0563354;-1.0563354;1418119697539
437;0.72161627;-1.4220123;-1.4220123;1418119697560
438;-0.15416455;-1.6972752;-1.6972752;1418119697579
439;-1.0693526;-1.2968998;-1.2968998;1418119697599
440;-0.85676813;-1.4189701;-1.4189701;1418119697618
441;-0.062340975;-1.4432011;-1.4432011;1418119697639
442;-1.321568;-1.1012068;-1.1012068;1418119697659
443;-1.2651346;-0.61485195;-0.61485195;1418119697678
444;-1.4522737;-0.48037338;-0.48037338;1418119697699
445;-1.1770806;-0.421422;-0.421422;1418119697717
446;-2.526303;-0.5444193;-0.5444193;1418119697737
447;-1.43913;-0.43089962;-0.43089962;1418119697757
448;-1.3863769;-0.527441;-0.527441;1418119697777
449;-0.6873479;-0.16968441;-0.16968441;1418119697795
450;-0.4429178;0.22381306;0.22381306;1418119697816
451;-1.3467938;0.23669243;0.23669243;1418119697836
452;-1.3199892;-0.42013168;-0.42013168;1418119697856
453;-1.065273;0.07821846;0.07821846;1418119697876
454;-1.0608602;0.18466663;0.18466663;1418119697895
455;-1.2362871;-0.011219978;-0.011219978;1418119697915
456;-1.3506174;-0.003206253;-0.003206253;1418119697934
457;-0.7937923;-0.22501469;-0.22501469;1418119697954
458;-1.3272533;-0.22967243;-0.22967243;1418119697974
459;-2.232974;-0.3215723;-0.3215723;1418119697998
460;-2.133563;-0.46233177;-0.46233177;1418119698013
461;-2.0072958;-0.33923817;-0.33923817;1418119698034
462;-3.2658923;-0.5914154;-0.5914154;1418119698053
463;-4.677802;-1.1636648;-1.1636648;1418119698074
464;-4.91275;-1.552352;-1.552352;1418119698094
465;-3.6886318;-2.1242142;-2.1242142;1418119698112
466;-2.973709;-2.0834694;-2.0834694;1418119698131
467;-3.249;-1.7205;-1.7205;1418119698151
468;-3.995471;-1.7431822;-1.7431822;1418119698171
469;-4.3781805;-1.9967451;-1.9967451;1418119698190
470;-3.3505719;-2.2503195;-2.2503195;1418119698210
471;-2.1031737;-2.4349422;-2.4349422;1418119698230
472;-1.6833298;-2.7418098;-2.7418098;1418119698249
473;-0.8206377;-2.3326607;-2.3326607;1418119698270
474;0.4308858;-1.9383373;-1.9383373;1418119698289
